Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Czechia,Czechia,CZ,343.93,378.32,65.84,17.76,ceps.cz,false,
2024-01-01 01:00:00,Czechia,Czechia,CZ,329.77,363.38,67.16,16.81,ceps.cz,false,
2024-01-01 02:00:00,Czechia,Czechia,CZ,330.25,363.23,67.15,14.06,ceps.cz,false,
2024-01-01 03:00:00,Czechia,Czechia,CZ,332.91,365.21,67.0,11.64,ceps.cz,false,
2024-01-01 04:00:00,Czechia,Czechia,CZ,332.13,365.19,66.94,13.3,ceps.cz,false,
2024-01-01 05:00:00,Czechia,Czechia,CZ,323.24,356.25,67.95,13.14,ceps.cz,false,
2024-01-01 06:00:00,Czechia,Czechia,CZ,312.9,345.59,68.98,14.48,ceps.cz,false,
2024-01-01 07:00:00,Czechia,Czechia,CZ,313.85,346.48,68.95,13.94,ceps.cz,false,
2024-01-01 08:00:00,Czechia,Czechia,CZ,307.18,339.2,69.76,14.63,ceps.cz,false,
2024-01-01 09:00:00,Czechia,Czechia,CZ,291.59,323.65,71.3,18.27,ceps.cz,false,
2024-01-01 10:00:00,Czechia,Czechia,CZ,284.36,316.63,72.01,20.33,ceps.cz,false,
2024-01-01 11:00:00,Czechia,Czechia,CZ,282.62,314.1,72.37,19.31,ceps.cz,false,
2024-01-01 12:00:00,Czechia,Czechia,CZ,288.6,319.82,71.85,18.27,ceps.cz,false,
2024-01-01 13:00:00,Czechia,Czechia,CZ,275.54,307.74,72.65,22.0,ceps.cz,false,
2024-01-01 14:00:00,Czechia,Czechia,CZ,294.47,323.28,72.59,21.53,ceps.cz,false,
2024-01-01 15:00:00,Czechia,Czechia,CZ,306.24,331.2,73.48,24.77,ceps.cz,false,
2024-01-01 16:00:00,Czechia,Czechia,CZ,307.71,332.54,73.48,25.87,ceps.cz,false,
2024-01-01 17:00:00,Czechia,Czechia,CZ,310.2,334.58,73.38,25.38,ceps.cz,false,
2024-01-01 18:00:00,Czechia,Czechia,CZ,308.58,333.85,73.11,24.72,ceps.cz,false,
2024-01-01 19:00:00,Czechia,Czechia,CZ,316.03,342.48,71.94,22.33,ceps.cz,false,
2024-01-01 20:00:00,Czechia,Czechia,CZ,320.92,345.77,72.08,21.15,ceps.cz,false,
2024-01-01 21:00:00,Czechia,Czechia,CZ,312.41,339.25,71.26,17.29,ceps.cz,false,
2024-01-01 22:00:00,Czechia,Czechia,CZ,309.25,339.66,69.58,11.85,ceps.cz,false,
2024-01-01 23:00:00,Czechia,Czechia,CZ,294.26,324.5,70.95,12.52,ceps.cz,false,
2024-01-02 00:00:00,Czechia,Czechia,CZ,291.46,323.19,70.9,13.79,ceps.cz,false,
