Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,France,France,FR,14.66,29.09,96.55,35.07,opendata.reseaux-energies.fr,false,
2024-01-01 01:00:00,France,France,FR,15.41,30.08,96.42,34.74,opendata.reseaux-energies.fr,false,
2024-01-01 02:00:00,France,France,FR,17.29,32.32,96.01,29.11,opendata.reseaux-energies.fr,false,
2024-01-01 03:00:00,France,France,FR,17.75,32.96,95.9,28.42,opendata.reseaux-energies.fr,false,
2024-01-01 04:00:00,France,France,FR,17.78,33.0,95.89,28.22,opendata.reseaux-energies.fr,false,
2024-01-01 05:00:00,France,France,FR,18.15,33.41,95.83,27.41,opendata.reseaux-energies.fr,false,
2024-01-01 06:00:00,France,France,FR,19.01,34.52,95.63,27.52,opendata.reseaux-energies.fr,false,
2024-01-01 07:00:00,France,France,FR,18.06,33.62,95.81,31.75,opendata.reseaux-energies.fr,false,
2024-01-01 08:00:00,France,France,FR,16.8,32.16,96.07,32.94,opendata.reseaux-energies.fr,false,
2024-01-01 09:00:00,France,France,FR,16.35,31.95,96.16,33.36,opendata.reseaux-energies.fr,false,
2024-01-01 10:00:00,France,France,FR,15.7,31.63,96.3,34.57,opendata.reseaux-energies.fr,false,
2024-01-01 11:00:00,France,France,FR,15.13,31.12,96.42,35.29,opendata.reseaux-energies.fr,false,
2024-01-01 12:00:00,France,France,FR,14.92,30.89,96.45,35.35,opendata.reseaux-energies.fr,false,
2024-01-01 13:00:00,France,France,FR,14.63,30.26,96.52,34.29,opendata.reseaux-energies.fr,false,
2024-01-01 14:00:00,France,France,FR,15.72,31.16,96.31,33.13,opendata.reseaux-energies.fr,false,
2024-01-01 15:00:00,France,France,FR,15.45,29.08,96.61,31.56,opendata.reseaux-energies.fr,false,
2024-01-01 16:00:00,France,France,FR,15.25,27.78,96.82,31.09,opendata.reseaux-energies.fr,false,
2024-01-01 17:00:00,France,France,FR,15.12,27.16,96.99,33.37,opendata.reseaux-energies.fr,false,
2024-01-01 18:00:00,France,France,FR,14.9,26.84,97.07,35.05,opendata.reseaux-energies.fr,false,
2024-01-01 19:00:00,France,France,FR,14.68,26.99,97.02,35.68,opendata.reseaux-energies.fr,false,
2024-01-01 20:00:00,France,France,FR,13.77,26.81,96.95,35.22,opendata.reseaux-energies.fr,false,
2024-01-01 21:00:00,France,France,FR,13.56,26.71,96.96,35.34,opendata.reseaux-energies.fr,false,
2024-01-01 22:00:00,France,France,FR,13.17,26.72,96.89,35.06,opendata.reseaux-energies.fr,false,
2024-01-01 23:00:00,France,France,FR,13.8,27.75,96.7,35.6,opendata.reseaux-energies.fr,false,
2024-01-02 00:00:00,France,France,FR,13.46,27.3,96.79,35.7,opendata.reseaux-energies.fr,false,
2024-01-02 01:00:00,France,France,FR,13.91,27.95,96.68,35.66,opendata.reseaux-energies.fr,false,
2024-01-02 02:00:00,France,France,FR,14.5,28.88,96.54,36.58,opendata.reseaux-energies.fr,false,
2024-01-02 03:00:00,France,France,FR,14.67,29.15,96.49,36.72,opendata.reseaux-energies.fr,false,
2024-01-02 04:00:00,France,France,FR,14.72,29.18,96.48,36.47,opendata.reseaux-energies.fr,false,
2024-01-02 05:00:00,France,France,FR,13.71,27.57,96.72,34.72,opendata.reseaux-energies.fr,false,
2024-01-02 06:00:00,France,France,FR,13.18,26.73,96.85,34.22,opendata.reseaux-energies.fr,false,
2024-01-02 07:00:00,France,France,FR,13.42,26.63,96.93,35.7,opendata.reseaux-energies.fr,false,
2024-01-02 08:00:00,France,France,FR,14.07,26.81,97.0,37.05,opendata.reseaux-energies.fr,false,
2024-01-02 09:00:00,France,France,FR,13.83,26.58,97.08,37.68,opendata.reseaux-energies.fr,false,
2024-01-02 10:00:00,France,France,FR,13.79,26.5,97.15,38.5,opendata.reseaux-energies.fr,false,
2024-01-02 11:00:00,France,France,FR,13.96,26.69,97.14,38.79,opendata.reseaux-energies.fr,false,
2024-01-02 12:00:00,France,France,FR,13.49,26.33,97.19,39.06,opendata.reseaux-energies.fr,false,
2024-01-02 13:00:00,France,France,FR,13.14,26.09,97.18,38.37,opendata.reseaux-energies.fr,false,
2024-01-02 14:00:00,France,France,FR,12.67,25.83,97.13,37.11,opendata.reseaux-energies.fr,false,
2024-01-02 15:00:00,France,France,FR,12.45,25.81,97.04,35.36,opendata.reseaux-energies.fr,false,
2024-01-02 16:00:00,France,France,FR,12.78,25.93,97.02,35.28,opendata.reseaux-energies.fr,false,
2024-01-02 17:00:00,France,France,FR,13.75,26.14,97.1,36.9,opendata.reseaux-energies.fr,false,
2024-01-02 18:00:00,France,France,FR,14.7,26.44,97.14,37.75,opendata.reseaux-energies.fr,false,
2024-01-02 19:00:00,France,France,FR,13.67,26.05,97.1,36.51,opendata.reseaux-energies.fr,false,
2024-01-02 20:00:00,France,France,FR,12.83,26.22,96.93,34.44,opendata.reseaux-energies.fr,false,
2024-01-02 21:00:00,France,France,FR,13.1,26.61,96.86,34.34,opendata.reseaux-energies.fr,false,
2024-01-02 22:00:00,France,France,FR,13.32,26.97,96.81,34.74,opendata.reseaux-energies.fr,false,
2024-01-02 23:00:00,France,France,FR,13.41,27.1,96.79,34.66,opendata.reseaux-energies.fr,false,
2024-01-03 00:00:00,France,France,FR,13.75,27.57,96.71,34.08,opendata.reseaux-energies.fr,false,
2024-01-03 01:00:00,France,France,FR,14.98,28.95,96.42,29.06,opendata.reseaux-energies.fr,false,
2024-01-03 02:00:00,France,France,FR,15.32,29.39,96.33,28.16,opendata.reseaux-energies.fr,false,
2024-01-03 03:00:00,France,France,FR,15.57,29.73,96.27,27.94,opendata.reseaux-energies.fr,false,
2024-01-03 04:00:00,France,France,FR,14.51,28.54,96.53,32.72,opendata.reseaux-energies.fr,false,
2024-01-03 05:00:00,France,France,FR,13.65,27.37,96.73,33.91,opendata.reseaux-energies.fr,false,
2024-01-03 06:00:00,France,France,FR,13.19,26.63,96.84,33.64,opendata.reseaux-energies.fr,false,
2024-01-03 07:00:00,France,France,FR,12.73,26.06,96.95,34.4,opendata.reseaux-energies.fr,false,
2024-01-03 08:00:00,France,France,FR,12.78,26.23,96.94,34.64,opendata.reseaux-energies.fr,false,
2024-01-03 09:00:00,France,France,FR,12.68,26.38,96.96,35.35,opendata.reseaux-energies.fr,false,
2024-01-03 10:00:00,France,France,FR,12.47,26.37,97.01,36.12,opendata.reseaux-energies.fr,false,
2024-01-03 11:00:00,France,France,FR,12.45,26.48,97.02,36.91,opendata.reseaux-energies.fr,false,
2024-01-03 12:00:00,France,France,FR,12.57,26.7,96.99,36.98,opendata.reseaux-energies.fr,false,
2024-01-03 13:00:00,France,France,FR,12.08,25.87,97.13,36.99,opendata.reseaux-energies.fr,false,
2024-01-03 14:00:00,France,France,FR,12.6,25.91,97.1,36.72,opendata.reseaux-energies.fr,false,
2024-01-03 15:00:00,France,France,FR,12.72,25.78,97.08,36.26,opendata.reseaux-energies.fr,false,
2024-01-03 16:00:00,France,France,FR,12.96,25.79,97.07,36.57,opendata.reseaux-energies.fr,false,
2024-01-03 17:00:00,France,France,FR,13.54,25.83,97.13,37.58,opendata.reseaux-energies.fr,false,
2024-01-03 18:00:00,France,France,FR,14.24,26.11,97.15,38.15,opendata.reseaux-energies.fr,false,
2024-01-03 19:00:00,France,France,FR,13.93,26.05,97.11,37.25,opendata.reseaux-energies.fr,false,
2024-01-03 20:00:00,France,France,FR,13.27,25.99,97.03,35.54,opendata.reseaux-energies.fr,false,
2024-01-03 21:00:00,France,France,FR,13.27,26.3,96.93,34.69,opendata.reseaux-energies.fr,false,
2024-01-03 22:00:00,France,France,FR,13.18,26.44,96.87,33.67,opendata.reseaux-energies.fr,false,
2024-01-03 23:00:00,France,France,FR,13.51,26.98,96.76,32.88,opendata.reseaux-energies.fr,false,
2024-01-04 00:00:00,France,France,FR,13.75,27.24,96.7,31.65,opendata.reseaux-energies.fr,false,
2024-01-04 01:00:00,France,France,FR,14.01,27.61,96.64,31.58,opendata.reseaux-energies.fr,false,
2024-01-04 02:00:00,France,France,FR,14.47,28.24,96.53,31.12,opendata.reseaux-energies.fr,false,
2024-01-04 03:00:00,France,France,FR,14.58,28.3,96.5,30.16,opendata.reseaux-energies.fr,false,
2024-01-04 04:00:00,France,France,FR,14.77,28.48,96.45,29.79,opendata.reseaux-energies.fr,false,
2024-01-04 05:00:00,France,France,FR,15.96,29.92,96.14,29.18,opendata.reseaux-energies.fr,false,
2024-01-04 06:00:00,France,France,FR,19.86,34.1,95.4,29.98,opendata.reseaux-energies.fr,false,
2024-01-04 07:00:00,France,France,FR,22.86,37.37,94.85,30.97,opendata.reseaux-energies.fr,false,
2024-01-04 08:00:00,France,France,FR,25.36,40.65,94.25,31.41,opendata.reseaux-energies.fr,false,
2024-01-04 09:00:00,France,France,FR,26.07,42.48,93.93,31.71,opendata.reseaux-energies.fr,false,
2024-01-04 10:00:00,France,France,FR,26.09,43.43,93.75,32.15,opendata.reseaux-energies.fr,false,
2024-01-04 11:00:00,France,France,FR,27.42,44.93,93.55,33.27,opendata.reseaux-energies.fr,false,
2024-01-04 12:00:00,France,France,FR,27.11,44.46,93.62,32.97,opendata.reseaux-energies.fr,false,
2024-01-04 13:00:00,France,France,FR,27.79,45.0,93.46,31.92,opendata.reseaux-energies.fr,false,
2024-01-04 14:00:00,France,France,FR,28.57,45.51,93.31,31.17,opendata.reseaux-energies.fr,false,
2024-01-04 15:00:00,France,France,FR,27.37,43.25,93.73,31.84,opendata.reseaux-energies.fr,false,
2024-01-04 16:00:00,France,France,FR,28.83,44.29,93.59,34.41,opendata.reseaux-energies.fr,false,
2024-01-04 17:00:00,France,France,FR,29.02,44.42,93.58,35.83,opendata.reseaux-energies.fr,false,
2024-01-04 18:00:00,France,France,FR,28.89,44.12,93.65,36.22,opendata.reseaux-energies.fr,false,
2024-01-04 19:00:00,France,France,FR,28.6,44.11,93.61,35.35,opendata.reseaux-energies.fr,false,
2024-01-04 20:00:00,France,France,FR,26.35,42.44,93.78,32.74,opendata.reseaux-energies.fr,false,
2024-01-04 21:00:00,France,France,FR,26.12,42.3,93.77,31.46,opendata.reseaux-energies.fr,false,
2024-01-04 22:00:00,France,France,FR,27.15,43.55,93.53,31.1,opendata.reseaux-energies.fr,false,
2024-01-04 23:00:00,France,France,FR,23.82,39.91,94.19,29.8,opendata.reseaux-energies.fr,false,
2024-01-05 00:00:00,France,France,FR,19.18,34.13,95.31,28.86,opendata.reseaux-energies.fr,false,
2024-01-05 01:00:00,France,France,FR,17.59,32.02,95.72,28.09,opendata.reseaux-energies.fr,false,
2024-01-05 02:00:00,France,France,FR,17.17,31.52,95.84,28.19,opendata.reseaux-energies.fr,false,
2024-01-05 03:00:00,France,France,FR,18.26,32.88,95.56,27.75,opendata.reseaux-energies.fr,false,
2024-01-05 04:00:00,France,France,FR,19.93,34.96,95.17,27.35,opendata.reseaux-energies.fr,false,
2024-01-05 05:00:00,France,France,FR,21.39,36.77,94.85,27.11,opendata.reseaux-energies.fr,false,
2024-01-05 06:00:00,France,France,FR,23.98,40.06,94.19,27.2,opendata.reseaux-energies.fr,false,
2024-01-05 07:00:00,France,France,FR,28.53,45.76,93.07,26.85,opendata.reseaux-energies.fr,false,
2024-01-05 08:00:00,France,France,FR,32.36,50.48,92.21,27.14,opendata.reseaux-energies.fr,false,
2024-01-05 09:00:00,France,France,FR,31.11,49.31,92.48,27.66,opendata.reseaux-energies.fr,false,
2024-01-05 10:00:00,France,France,FR,31.02,49.56,92.47,27.93,opendata.reseaux-energies.fr,false,
2024-01-05 11:00:00,France,France,FR,31.01,49.59,92.53,29.29,opendata.reseaux-energies.fr,false,
2024-01-05 12:00:00,France,France,FR,30.49,48.94,92.67,29.27,opendata.reseaux-energies.fr,false,
2024-01-05 13:00:00,France,France,FR,30.4,48.76,92.65,28.25,opendata.reseaux-energies.fr,false,
2024-01-05 14:00:00,France,France,FR,30.61,48.47,92.68,27.5,opendata.reseaux-energies.fr,false,
2024-01-05 15:00:00,France,France,FR,32.42,49.84,92.43,26.77,opendata.reseaux-energies.fr,false,
2024-01-05 16:00:00,France,France,FR,34.61,51.71,92.11,27.75,opendata.reseaux-energies.fr,false,
2024-01-05 17:00:00,France,France,FR,35.58,52.41,92.04,28.85,opendata.reseaux-energies.fr,false,
2024-01-05 18:00:00,France,France,FR,35.8,52.46,92.06,29.06,opendata.reseaux-energies.fr,false,
2024-01-05 19:00:00,France,France,FR,35.15,52.59,91.91,27.01,opendata.reseaux-energies.fr,false,
2024-01-05 20:00:00,France,France,FR,33.17,51.02,92.09,25.13,opendata.reseaux-energies.fr,false,
