Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Hungary,Hungary,HU,169.29,201.84,78.67,22.41,entsoe.eu,false,
2024-01-01 01:00:00,Hungary,Hungary,HU,164.95,197.77,78.85,23.04,entsoe.eu,false,
2024-01-01 02:00:00,Hungary,Hungary,HU,161.63,195.47,78.65,25.89,entsoe.eu,false,
2024-01-01 03:00:00,Hungary,Hungary,HU,162.1,197.2,77.79,25.35,entsoe.eu,false,
2024-01-01 04:00:00,Hungary,Hungary,HU,170.11,206.18,76.6,21.71,entsoe.eu,false,
2024-01-01 05:00:00,Hungary,Hungary,HU,161.41,196.17,77.9,19.15,entsoe.eu,false,
2024-01-01 06:00:00,Hungary,Hungary,HU,155.5,190.21,78.95,22.15,entsoe.eu,false,
2024-01-01 07:00:00,Hungary,Hungary,HU,149.35,181.96,80.33,23.32,entsoe.eu,false,
2024-01-01 08:00:00,Hungary,Hungary,HU,137.82,170.15,81.18,24.99,entsoe.eu,false,
2024-01-01 09:00:00,Hungary,Hungary,HU,118.59,148.7,84.77,30.78,entsoe.eu,false,
2024-01-01 10:00:00,Hungary,Hungary,HU,105.33,134.67,86.8,36.03,entsoe.eu,false,
2024-01-01 11:00:00,Hungary,Hungary,HU,104.87,136.13,85.84,38.23,entsoe.eu,false,
2024-01-01 12:00:00,Hungary,Hungary,HU,110.71,143.5,84.44,39.38,entsoe.eu,false,
2024-01-01 13:00:00,Hungary,Hungary,HU,118.42,151.11,83.29,35.97,entsoe.eu,false,
2024-01-01 14:00:00,Hungary,Hungary,HU,135.13,168.17,81.03,28.39,entsoe.eu,false,
2024-01-01 15:00:00,Hungary,Hungary,HU,148.07,174.02,81.74,30.28,entsoe.eu,false,
2024-01-01 16:00:00,Hungary,Hungary,HU,151.61,176.57,81.56,29.7,entsoe.eu,false,
