Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Ireland,Ireland,IE,162.33,203.89,73.63,73.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,Ireland,Ireland,IE,171.21,214.35,72.18,72.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,Ireland,Ireland,IE,185.05,230.67,69.94,69.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,Ireland,Ireland,IE,212.47,262.97,65.48,65.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,Ireland,Ireland,IE,226.65,279.68,63.18,63.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,Ireland,Ireland,IE,259.04,317.84,57.92,57.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,Ireland,Ireland,IE,302.58,369.15,50.84,50.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,Ireland,Ireland,IE,350.35,425.44,43.08,43.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,Ireland,Ireland,IE,360.93,437.9,41.36,41.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,Ireland,Ireland,IE,292.65,357.44,52.45,52.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,Ireland,Ireland,IE,254.01,311.91,58.73,58.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,Ireland,Ireland,IE,229.89,283.5,62.65,62.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,Ireland,Ireland,IE,216.69,267.95,64.79,64.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,Ireland,Ireland,IE,211.67,262.03,65.61,65.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,Ireland,Ireland,IE,168.75,211.46,72.58,72.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,Ireland,Ireland,IE,137.75,174.93,77.62,77.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,Ireland,Ireland,IE,167.84,210.39,72.73,72.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,Ireland,Ireland,IE,159.47,200.52,74.09,74.09,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,Ireland,Ireland,IE,142.98,181.18,76.74,76.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,Ireland,Ireland,IE,135.84,172.68,77.93,77.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,Ireland,Ireland,IE,132.9,169.22,78.41,78.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,Ireland,Ireland,IE,133.64,170.09,78.29,78.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,Ireland,Ireland,IE,139.76,177.29,77.29,77.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,Ireland,Ireland,IE,152.32,192.1,75.25,75.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,Ireland,Ireland,IE,172.65,216.05,71.95,71.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,Ireland,Ireland,IE,186.84,232.77,69.64,69.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,Ireland,Ireland,IE,218.84,270.48,64.45,64.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,Ireland,Ireland,IE,255.53,313.71,58.48,58.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,Ireland,Ireland,IE,280.38,342.99,54.45,54.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,Ireland,Ireland,IE,316.57,385.64,48.57,48.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,Ireland,Ireland,IE,294.69,359.85,52.12,52.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 07:00:00,Ireland,Ireland,IE,345.55,419.78,43.86,43.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 08:00:00,Ireland,Ireland,IE,360.26,437.11,41.47,41.47,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 09:00:00,Ireland,Ireland,IE,364.42,442.01,40.79,40.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 10:00:00,Ireland,Ireland,IE,334.74,407.05,45.62,45.62,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 11:00:00,Ireland,Ireland,IE,298.98,364.91,51.43,51.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 12:00:00,Ireland,Ireland,IE,261.54,320.79,57.51,57.51,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 13:00:00,Ireland,Ireland,IE,259.93,318.9,57.77,57.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 14:00:00,Ireland,Ireland,IE,245.41,301.79,60.13,60.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 15:00:00,Ireland,Ireland,IE,251.15,308.55,59.2,59.2,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 16:00:00,Ireland,Ireland,IE,252.95,310.68,58.9,58.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 17:00:00,Ireland,Ireland,IE,289.71,353.99,52.93,52.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 18:00:00,Ireland,Ireland,IE,321.8,391.8,47.72,47.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 19:00:00,Ireland,Ireland,IE,337.12,409.84,45.23,45.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 20:00:00,Ireland,Ireland,IE,369.68,448.21,39.94,39.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 21:00:00,Ireland,Ireland,IE,359.61,436.34,41.58,41.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 22:00:00,Ireland,Ireland,IE,335.16,407.53,45.55,45.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 23:00:00,Ireland,Ireland,IE,351.65,426.97,42.87,42.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 00:00:00,Ireland,Ireland,IE,356.94,433.21,42.01,42.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 01:00:00,Ireland,Ireland,IE,358.92,435.54,41.69,41.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 02:00:00,Ireland,Ireland,IE,375.18,454.69,39.05,39.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 03:00:00,Ireland,Ireland,IE,380.31,460.74,38.21,38.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 04:00:00,Ireland,Ireland,IE,364.71,442.35,40.75,40.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 05:00:00,Ireland,Ireland,IE,356.02,432.12,42.16,42.16,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 06:00:00,Ireland,Ireland,IE,347.15,421.67,43.6,43.6,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 07:00:00,Ireland,Ireland,IE,392.17,474.71,36.29,36.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 08:00:00,Ireland,Ireland,IE,397.43,480.92,35.43,35.43,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 09:00:00,Ireland,Ireland,IE,391.64,474.08,36.37,36.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 10:00:00,Ireland,Ireland,IE,386.58,468.13,37.19,37.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 11:00:00,Ireland,Ireland,IE,383.04,463.95,37.77,37.77,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 12:00:00,Ireland,Ireland,IE,354.91,430.81,42.34,42.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 13:00:00,Ireland,Ireland,IE,356.5,432.68,42.08,42.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 14:00:00,Ireland,Ireland,IE,320.39,390.14,47.95,47.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 15:00:00,Ireland,Ireland,IE,299.2,365.17,51.39,51.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 16:00:00,Ireland,Ireland,IE,317.01,386.36,48.39,48.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 17:00:00,Ireland,Ireland,IE,317.64,386.89,48.39,48.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 18:00:00,Ireland,Ireland,IE,312.84,381.23,49.17,49.17,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 19:00:00,Ireland,Ireland,IE,299.61,365.65,51.32,51.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 20:00:00,Ireland,Ireland,IE,276.03,337.87,55.15,55.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 21:00:00,Ireland,Ireland,IE,242.44,298.28,60.61,60.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 22:00:00,Ireland,Ireland,IE,222.82,275.17,63.8,63.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
