Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Netherlands,Netherlands,NL,85.65,119.37,79.74,72.67,ned.nl,false,
2024-01-01 01:00:00,Netherlands,Netherlands,NL,85.94,119.65,79.73,72.77,ned.nl,false,
2024-01-01 02:00:00,Netherlands,Netherlands,NL,85.57,119.13,79.81,72.94,ned.nl,false,
2024-01-01 03:00:00,Netherlands,Netherlands,NL,85.62,119.15,79.68,74.2,ned.nl,false,
2024-01-01 04:00:00,Netherlands,Netherlands,NL,90.3,124.77,78.98,74.56,ned.nl,false,
2024-01-01 05:00:00,Netherlands,Netherlands,NL,91.88,126.82,78.46,72.3,ned.nl,false,
2024-01-01 06:00:00,Netherlands,Netherlands,NL,96.98,133.2,77.23,71.89,ned.nl,false,
2024-01-01 07:00:00,Netherlands,Netherlands,NL,96.33,132.69,77.77,71.62,ned.nl,false,
2024-01-01 08:00:00,Netherlands,Netherlands,NL,97.65,134.97,77.87,72.83,ned.nl,false,
2024-01-01 09:00:00,Netherlands,Netherlands,NL,93.86,131.89,78.63,73.52,ned.nl,false,
2024-01-01 10:00:00,Netherlands,Netherlands,NL,86.0,124.01,80.55,75.43,ned.nl,false,
2024-01-01 11:00:00,Netherlands,Netherlands,NL,81.03,118.26,81.36,75.76,ned.nl,false,
2024-01-01 12:00:00,Netherlands,Netherlands,NL,77.7,114.59,81.74,75.19,ned.nl,false,
2024-01-01 13:00:00,Netherlands,Netherlands,NL,79.81,116.75,81.23,73.33,ned.nl,false,
2024-01-01 14:00:00,Netherlands,Netherlands,NL,92.61,131.23,79.4,70.84,ned.nl,false,
2024-01-01 15:00:00,Netherlands,Netherlands,NL,114.78,156.4,74.73,64.18,ned.nl,false,
2024-01-01 16:00:00,Netherlands,Netherlands,NL,137.79,184.17,69.26,60.59,ned.nl,false,
2024-01-01 17:00:00,Netherlands,Netherlands,NL,131.74,175.13,72.0,61.32,ned.nl,false,
2024-01-01 18:00:00,Netherlands,Netherlands,NL,128.01,170.71,72.16,59.1,ned.nl,false,
2024-01-01 19:00:00,Netherlands,Netherlands,NL,133.97,178.91,71.06,57.45,ned.nl,false,
2024-01-01 20:00:00,Netherlands,Netherlands,NL,118.73,160.06,73.94,60.7,ned.nl,false,
2024-01-01 21:00:00,Netherlands,Netherlands,NL,114.77,155.32,73.35,60.75,ned.nl,false,
2024-01-01 22:00:00,Netherlands,Netherlands,NL,107.76,146.75,75.06,61.56,ned.nl,false,
2024-01-01 23:00:00,Netherlands,Netherlands,NL,101.54,139.24,76.18,60.76,ned.nl,false,
2024-01-02 00:00:00,Netherlands,Netherlands,NL,97.03,133.35,77.26,61.55,ned.nl,false,
2024-01-02 01:00:00,Netherlands,Netherlands,NL,93.54,129.21,78.06,64.32,ned.nl,false,
2024-01-02 02:00:00,Netherlands,Netherlands,NL,90.62,125.5,78.76,65.54,ned.nl,false,
2024-01-02 03:00:00,Netherlands,Netherlands,NL,89.99,124.75,78.88,66.64,ned.nl,false,
