Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,New Zealand,New Zealand,NZ,48.49,81.64,91.09,91.09,transpower.co.nz,false,
2024-01-01 01:00:00,New Zealand,New Zealand,NZ,48.64,81.83,91.06,91.06,transpower.co.nz,false,
2024-01-01 02:00:00,New Zealand,New Zealand,NZ,48.03,80.93,91.18,91.18,transpower.co.nz,false,
2024-01-01 03:00:00,New Zealand,New Zealand,NZ,46.93,79.53,91.38,91.38,transpower.co.nz,false,
2024-01-01 04:00:00,New Zealand,New Zealand,NZ,49.26,82.79,90.62,90.62,transpower.co.nz,false,
2024-01-01 05:00:00,New Zealand,New Zealand,NZ,51.45,85.13,90.35,90.35,transpower.co.nz,false,
2024-01-01 06:00:00,New Zealand,New Zealand,NZ,51.28,85.21,90.29,90.29,transpower.co.nz,false,
2024-01-01 07:00:00,New Zealand,New Zealand,NZ,52.07,86.0,90.4,90.4,transpower.co.nz,false,
2024-01-01 08:00:00,New Zealand,New Zealand,NZ,61.23,95.33,89.5,89.5,transpower.co.nz,false,
2024-01-01 09:00:00,New Zealand,New Zealand,NZ,57.52,91.92,89.85,89.85,transpower.co.nz,false,
2024-01-01 10:00:00,New Zealand,New Zealand,NZ,53.43,88.05,90.22,90.22,transpower.co.nz,false,
2024-01-01 11:00:00,New Zealand,New Zealand,NZ,55.84,90.88,89.76,89.76,transpower.co.nz,false,
2024-01-01 12:00:00,New Zealand,New Zealand,NZ,56.32,91.39,89.7,89.7,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 13:00:00,New Zealand,New Zealand,NZ,37.04,71.73,91.98,91.98,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 14:00:00,New Zealand,New Zealand,NZ,30.33,63.51,93.78,93.78,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 15:00:00,New Zealand,New Zealand,NZ,45.71,79.98,91.67,91.67,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 16:00:00,New Zealand,New Zealand,NZ,58.23,93.4,89.46,89.46,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
2024-01-01 17:00:00,New Zealand,New Zealand,NZ,58.46,93.64,89.43,89.43,transpower.co.nz; Electricity Maps Estimation,false,
2024-01-01 18:00:00,New Zealand,New Zealand,NZ,54.69,89.21,90.08,90.08,transpower.co.nz,false,
2024-01-01 19:00:00,New Zealand,New Zealand,NZ,55.59,89.55,90.17,90.17,transpower.co.nz,false,
2024-01-01 20:00:00,New Zealand,New Zealand,NZ,53.66,87.01,90.54,90.54,transpower.co.nz,false,
2024-01-01 21:00:00,New Zealand,New Zealand,NZ,56.46,89.64,90.24,90.24,transpower.co.nz,false,
2024-01-01 22:00:00,New Zealand,New Zealand,NZ,58.7,91.96,89.93,89.93,transpower.co.nz,false,
2024-01-01 23:00:00,New Zealand,New Zealand,NZ,58.52,91.66,89.93,89.93,transpower.co.nz,false,
2024-01-02 00:00:00,New Zealand,New Zealand,NZ,54.2,87.02,90.47,90.47,transpower.co.nz,false,
2024-01-02 01:00:00,New Zealand,New Zealand,NZ,60.05,93.06,89.7,89.7,transpower.co.nz,false,
2024-01-02 02:00:00,New Zealand,New Zealand,NZ,57.96,90.4,90.02,90.02,transpower.co.nz,false,
2024-01-02 03:00:00,New Zealand,New Zealand,NZ,54.32,86.39,90.58,90.58,transpower.co.nz,false,
2024-01-02 04:00:00,New Zealand,New Zealand,NZ,59.98,92.02,89.98,89.98,transpower.co.nz,false,
2024-01-02 05:00:00,New Zealand,New Zealand,NZ,61.79,93.99,89.76,89.76,transpower.co.nz,false,
2024-01-02 06:00:00,New Zealand,New Zealand,NZ,64.01,96.8,89.37,89.37,transpower.co.nz,false,
2024-01-02 07:00:00,New Zealand,New Zealand,NZ,66.61,100.17,88.93,88.93,transpower.co.nz,false,
2024-01-02 08:00:00,New Zealand,New Zealand,NZ,65.38,98.93,89.14,89.14,transpower.co.nz,false,
2024-01-02 09:00:00,New Zealand,New Zealand,NZ,66.04,100.04,88.92,88.92,transpower.co.nz,false,
2024-01-02 10:00:00,New Zealand,New Zealand,NZ,70.2,104.99,88.2,88.2,transpower.co.nz,false,
2024-01-02 11:00:00,New Zealand,New Zealand,NZ,68.39,103.63,88.28,88.28,transpower.co.nz,false,
2024-01-02 12:00:00,New Zealand,New Zealand,NZ,71.19,106.92,87.84,87.84,Electricity Maps Estimation,true,ESTIMATED_TIME_SLICER_AVERAGE
