Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Peru,Peru,PE,96.26,145.01,73.98,73.98,coes.org.pe,false,
2024-01-01 01:00:00,Peru,Peru,PE,93.0,141.0,74.87,74.87,coes.org.pe,false,
2024-01-01 02:00:00,Peru,Peru,PE,90.54,138.07,75.53,75.53,coes.org.pe,false,
2024-01-01 03:00:00,Peru,Peru,PE,87.02,133.8,76.48,76.48,coes.org.pe,false,
2024-01-01 04:00:00,Peru,Peru,PE,83.15,129.01,77.53,77.53,coes.org.pe,false,
2024-01-01 05:00:00,Peru,Peru,PE,114.1,167.94,69.16,69.16,coes.org.pe,false,
2024-01-01 06:00:00,Peru,Peru,PE,114.05,167.93,69.18,69.18,coes.org.pe,false,
2024-01-01 07:00:00,Peru,Peru,PE,109.49,162.19,70.41,70.41,coes.org.pe,false,
2024-01-01 08:00:00,Peru,Peru,PE,99.17,149.16,73.2,73.2,coes.org.pe,false,
2024-01-01 09:00:00,Peru,Peru,PE,91.7,139.77,75.22,75.22,coes.org.pe,false,
2024-01-01 10:00:00,Peru,Peru,PE,84.65,131.09,77.12,77.12,coes.org.pe,false,
2024-01-01 11:00:00,Peru,Peru,PE,84.49,131.58,77.17,77.17,coes.org.pe,false,
2024-01-01 12:00:00,Peru,Peru,PE,83.96,131.28,77.31,77.31,coes.org.pe,false,
2024-01-01 13:00:00,Peru,Peru,PE,81.74,128.48,77.91,77.91,coes.org.pe,false,
2024-01-01 14:00:00,Peru,Peru,PE,78.0,123.77,78.92,78.92,coes.org.pe,false,
2024-01-01 15:00:00,Peru,Peru,PE,73.93,118.53,80.02,80.02,coes.org.pe,false,
2024-01-01 16:00:00,Peru,Peru,PE,73.52,117.91,80.13,80.13,coes.org.pe,false,
2024-01-01 17:00:00,Peru,Peru,PE,74.95,119.52,79.74,79.74,coes.org.pe,false,
2024-01-01 18:00:00,Peru,Peru,PE,75.83,120.51,79.51,79.51,coes.org.pe,false,
2024-01-01 19:00:00,Peru,Peru,PE,75.93,120.54,79.48,79.48,coes.org.pe,false,
2024-01-01 20:00:00,Peru,Peru,PE,76.36,121.05,79.36,79.36,coes.org.pe,false,
2024-01-01 21:00:00,Peru,Peru,PE,76.45,120.93,79.34,79.34,coes.org.pe,false,
2024-01-01 22:00:00,Peru,Peru,PE,76.95,120.96,79.2,79.2,coes.org.pe,false,
2024-01-01 23:00:00,Peru,Peru,PE,99.75,149.55,73.04,73.04,coes.org.pe,false,
2024-01-02 00:00:00,Peru,Peru,PE,117.73,172.23,68.18,68.18,coes.org.pe,false,
2024-01-02 01:00:00,Peru,Peru,PE,130.89,188.74,64.63,64.63,coes.org.pe,false,
2024-01-02 02:00:00,Peru,Peru,PE,132.19,190.48,64.27,64.27,coes.org.pe,false,
2024-01-02 03:00:00,Peru,Peru,PE,117.04,171.5,68.37,68.37,coes.org.pe,false,
2024-01-02 04:00:00,Peru,Peru,PE,88.82,136.02,76.0,76.0,coes.org.pe,false,
2024-01-02 05:00:00,Peru,Peru,PE,58.06,97.45,84.31,84.31,coes.org.pe,false,
2024-01-02 06:00:00,Peru,Peru,PE,53.2,91.4,85.62,85.62,coes.org.pe,false,
2024-01-02 07:00:00,Peru,Peru,PE,49.86,87.23,86.52,86.52,coes.org.pe,false,
2024-01-02 08:00:00,Peru,Peru,PE,47.87,84.69,87.06,87.06,coes.org.pe,false,
2024-01-02 09:00:00,Peru,Peru,PE,49.42,86.66,86.64,86.64,coes.org.pe,false,
2024-01-02 10:00:00,Peru,Peru,PE,55.06,93.94,85.12,85.12,coes.org.pe,false,
2024-01-02 11:00:00,Peru,Peru,PE,59.82,100.53,83.83,83.83,coes.org.pe,false,
2024-01-02 12:00:00,Peru,Peru,PE,72.53,116.66,80.4,80.4,coes.org.pe,false,
2024-01-02 13:00:00,Peru,Peru,PE,88.62,136.85,76.05,76.05,coes.org.pe,false,
2024-01-02 14:00:00,Peru,Peru,PE,94.32,144.06,74.51,74.51,coes.org.pe,false,
2024-01-02 15:00:00,Peru,Peru,PE,103.11,155.02,72.13,72.13,coes.org.pe,false,
2024-01-02 16:00:00,Peru,Peru,PE,101.27,152.62,72.63,72.63,coes.org.pe,false,
2024-01-02 17:00:00,Peru,Peru,PE,96.78,146.92,73.84,73.84,coes.org.pe,false,
2024-01-02 18:00:00,Peru,Peru,PE,93.05,141.99,74.85,74.85,coes.org.pe,false,
2024-01-02 19:00:00,Peru,Peru,PE,97.39,147.34,73.68,73.68,coes.org.pe,false,
2024-01-02 20:00:00,Peru,Peru,PE,105.89,158.01,71.38,71.38,coes.org.pe,false,
