Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Poland,Poland,PL,658.97,722.48,30.71,30.41,entsoe.eu,false,
2024-01-01 01:00:00,Poland,Poland,PL,665.47,729.48,29.94,29.57,entsoe.eu,false,
2024-01-01 02:00:00,Poland,Poland,PL,673.02,737.63,29.02,28.59,entsoe.eu,false,
2024-01-01 03:00:00,Poland,Poland,PL,683.27,748.5,27.96,27.44,entsoe.eu,false,
2024-01-01 04:00:00,Poland,Poland,PL,692.36,758.42,26.78,26.31,entsoe.eu,false,
2024-01-01 05:00:00,Poland,Poland,PL,702.93,770.36,25.38,24.92,entsoe.eu,false,
2024-01-01 06:00:00,Poland,Poland,PL,704.87,772.83,25.2,24.85,entsoe.eu,false,
2024-01-01 07:00:00,Poland,Poland,PL,695.2,762.99,25.8,25.39,entsoe.eu,false,
2024-01-01 08:00:00,Poland,Poland,PL,702.41,770.1,24.99,24.29,entsoe.eu,false,
2024-01-01 09:00:00,Poland,Poland,PL,703.35,770.53,25.36,24.54,entsoe.eu,false,
2024-01-01 10:00:00,Poland,Poland,PL,681.27,746.91,27.72,25.17,entsoe.eu,false,
2024-01-01 11:00:00,Poland,Poland,PL,685.8,751.2,27.58,24.66,entsoe.eu,false,
2024-01-01 12:00:00,Poland,Poland,PL,668.19,731.94,30.36,26.4,entsoe.eu,false,
2024-01-01 13:00:00,Poland,Poland,PL,666.79,731.23,29.81,26.53,entsoe.eu,false,
2024-01-01 14:00:00,Poland,Poland,PL,692.81,757.98,27.66,25.55,entsoe.eu,false,
2024-01-01 15:00:00,Poland,Poland,PL,682.66,746.5,29.04,26.67,entsoe.eu,false,
2024-01-01 16:00:00,Poland,Poland,PL,658.89,721.49,31.14,28.88,entsoe.eu,false,
2024-01-01 17:00:00,Poland,Poland,PL,640.07,701.54,32.53,29.66,entsoe.eu,false,
2024-01-01 18:00:00,Poland,Poland,PL,641.2,702.88,32.36,29.44,entsoe.eu,false,
2024-01-01 19:00:00,Poland,Poland,PL,661.91,724.59,30.56,28.15,entsoe.eu,false,
2024-01-01 20:00:00,Poland,Poland,PL,659.89,722.9,30.13,27.16,entsoe.eu,false,
2024-01-01 21:00:00,Poland,Poland,PL,678.07,742.69,27.9,25.67,entsoe.eu,false,
2024-01-01 22:00:00,Poland,Poland,PL,702.02,767.99,25.29,23.53,entsoe.eu,false,
2024-01-01 23:00:00,Poland,Poland,PL,698.48,765.19,25.19,23.91,entsoe.eu,false,
2024-01-02 00:00:00,Poland,Poland,PL,708.25,774.46,25.16,23.82,entsoe.eu,false,
2024-01-02 01:00:00,Poland,Poland,PL,722.5,788.99,24.13,22.96,entsoe.eu,false,
2024-01-02 02:00:00,Poland,Poland,PL,721.06,787.7,24.1,23.09,entsoe.eu,false,
2024-01-02 03:00:00,Poland,Poland,PL,733.64,800.73,23.14,22.4,entsoe.eu,false,
2024-01-02 04:00:00,Poland,Poland,PL,727.01,794.3,23.58,22.99,entsoe.eu,false,
2024-01-02 05:00:00,Poland,Poland,PL,735.79,803.73,22.2,21.43,entsoe.eu,false,
2024-01-02 06:00:00,Poland,Poland,PL,748.67,815.83,21.83,20.88,entsoe.eu,false,
2024-01-02 07:00:00,Poland,Poland,PL,754.44,821.01,21.45,20.34,entsoe.eu,false,
2024-01-02 08:00:00,Poland,Poland,PL,734.15,798.99,24.44,23.09,entsoe.eu,false,
2024-01-02 09:00:00,Poland,Poland,PL,696.95,759.88,28.34,26.24,entsoe.eu,false,
2024-01-02 10:00:00,Poland,Poland,PL,673.64,735.48,30.73,27.39,entsoe.eu,false,
2024-01-02 11:00:00,Poland,Poland,PL,685.49,747.12,29.85,26.68,entsoe.eu,false,
2024-01-02 12:00:00,Poland,Poland,PL,700.23,762.59,27.56,24.42,entsoe.eu,false,
2024-01-02 13:00:00,Poland,Poland,PL,731.59,794.83,24.61,22.98,entsoe.eu,false,
2024-01-02 14:00:00,Poland,Poland,PL,736.29,798.58,25.34,24.31,entsoe.eu,false,
2024-01-02 15:00:00,Poland,Poland,PL,724.87,785.06,28.38,27.42,entsoe.eu,false,
2024-01-02 16:00:00,Poland,Poland,PL,709.07,768.11,30.48,29.56,entsoe.eu,false,
2024-01-02 17:00:00,Poland,Poland,PL,694.75,753.72,31.44,30.66,entsoe.eu,false,
2024-01-02 18:00:00,Poland,Poland,PL,676.79,735.17,33.01,32.35,entsoe.eu,false,
2024-01-02 19:00:00,Poland,Poland,PL,658.99,717.11,34.26,33.8,entsoe.eu,false,
2024-01-02 20:00:00,Poland,Poland,PL,643.8,702.0,35.17,34.89,entsoe.eu,false,
2024-01-02 21:00:00,Poland,Poland,PL,641.84,700.97,33.3,33.09,entsoe.eu,false,
2024-01-02 22:00:00,Poland,Poland,PL,605.81,664.85,35.52,35.32,entsoe.eu,false,
2024-01-02 23:00:00,Poland,Poland,PL,590.33,648.14,37.75,37.45,entsoe.eu,false,
2024-01-03 00:00:00,Poland,Poland,PL,580.06,637.31,38.74,38.39,entsoe.eu,false,
2024-01-03 01:00:00,Poland,Poland,PL,577.74,634.77,38.84,38.45,entsoe.eu,false,
2024-01-03 02:00:00,Poland,Poland,PL,577.89,634.72,38.96,38.53,entsoe.eu,false,
2024-01-03 03:00:00,Poland,Poland,PL,578.41,635.43,38.8,38.51,entsoe.eu,false,
2024-01-03 04:00:00,Poland,Poland,PL,589.97,648.07,36.99,36.67,entsoe.eu,false,
2024-01-03 05:00:00,Poland,Poland,PL,615.33,673.5,35.12,34.85,entsoe.eu,false,
2024-01-03 06:00:00,Poland,Poland,PL,636.44,693.95,35.03,34.76,entsoe.eu,false,
2024-01-03 07:00:00,Poland,Poland,PL,632.81,689.85,35.83,35.57,entsoe.eu,false,
2024-01-03 08:00:00,Poland,Poland,PL,621.29,677.67,37.09,36.79,entsoe.eu,false,
2024-01-03 09:00:00,Poland,Poland,PL,616.9,673.77,36.37,36.18,entsoe.eu,false,
2024-01-03 10:00:00,Poland,Poland,PL,616.25,673.38,35.82,35.54,entsoe.eu,false,
2024-01-03 11:00:00,Poland,Poland,PL,630.0,687.99,34.47,34.19,entsoe.eu,false,
2024-01-03 12:00:00,Poland,Poland,PL,648.82,707.17,33.58,33.17,entsoe.eu,false,
2024-01-03 13:00:00,Poland,Poland,PL,669.97,729.77,30.83,30.09,entsoe.eu,false,
2024-01-03 14:00:00,Poland,Poland,PL,683.82,744.19,29.65,28.66,entsoe.eu,false,
2024-01-03 15:00:00,Poland,Poland,PL,687.97,746.96,31.59,30.93,entsoe.eu,false,
2024-01-03 16:00:00,Poland,Poland,PL,686.3,744.39,32.22,31.42,entsoe.eu,false,
2024-01-03 17:00:00,Poland,Poland,PL,677.98,736.22,31.86,30.92,entsoe.eu,false,
2024-01-03 18:00:00,Poland,Poland,PL,671.39,730.94,30.7,29.33,entsoe.eu,false,
2024-01-03 19:00:00,Poland,Poland,PL,658.71,718.24,31.38,29.18,entsoe.eu,false,
2024-01-03 20:00:00,Poland,Poland,PL,668.83,729.23,30.1,27.86,entsoe.eu,false,
2024-01-03 21:00:00,Poland,Poland,PL,682.24,744.09,28.41,27.35,entsoe.eu,false,
2024-01-03 22:00:00,Poland,Poland,PL,688.59,751.41,27.44,26.75,entsoe.eu,false,
2024-01-03 23:00:00,Poland,Poland,PL,688.71,751.74,27.5,26.72,entsoe.eu,false,
2024-01-04 00:00:00,Poland,Poland,PL,691.56,754.72,27.21,26.42,entsoe.eu,false,
2024-01-04 01:00:00,Poland,Poland,PL,694.51,757.23,27.25,26.47,entsoe.eu,false,
2024-01-04 02:00:00,Poland,Poland,PL,694.22,757.16,27.24,26.48,entsoe.eu,false,
2024-01-04 03:00:00,Poland,Poland,PL,697.22,760.52,26.77,26.09,entsoe.eu,false,
2024-01-04 04:00:00,Poland,Poland,PL,712.8,776.78,25.21,24.79,entsoe.eu,false,
2024-01-04 05:00:00,Poland,Poland,PL,730.83,795.3,23.56,23.03,entsoe.eu,false,
2024-01-04 06:00:00,Poland,Poland,PL,728.87,792.47,24.35,23.4,entsoe.eu,false,
2024-01-04 07:00:00,Poland,Poland,PL,722.74,785.02,25.79,24.85,entsoe.eu,false,
2024-01-04 08:00:00,Poland,Poland,PL,700.26,760.31,29.45,27.25,entsoe.eu,false,
2024-01-04 09:00:00,Poland,Poland,PL,674.67,733.5,31.83,28.77,entsoe.eu,false,
2024-01-04 10:00:00,Poland,Poland,PL,673.41,731.66,31.71,28.38,entsoe.eu,false,
2024-01-04 11:00:00,Poland,Poland,PL,654.34,712.74,32.08,29.11,entsoe.eu,false,
2024-01-04 12:00:00,Poland,Poland,PL,659.24,717.98,31.34,27.84,entsoe.eu,false,
2024-01-04 13:00:00,Poland,Poland,PL,677.54,736.91,30.1,28.49,entsoe.eu,false,
2024-01-04 14:00:00,Poland,Poland,PL,699.88,759.76,27.88,27.18,entsoe.eu,false,
2024-01-04 15:00:00,Poland,Poland,PL,715.7,775.41,26.65,26.16,entsoe.eu,false,
2024-01-04 16:00:00,Poland,Poland,PL,734.83,793.14,28.58,28.44,entsoe.eu,false,
2024-01-04 17:00:00,Poland,Poland,PL,741.93,800.23,28.61,28.41,entsoe.eu,false,
2024-01-04 18:00:00,Poland,Poland,PL,749.65,809.89,25.14,24.8,entsoe.eu,false,
2024-01-04 19:00:00,Poland,Poland,PL,739.66,800.7,24.39,23.74,entsoe.eu,false,
2024-01-04 20:00:00,Poland,Poland,PL,736.63,798.12,24.25,23.66,entsoe.eu,false,
2024-01-04 21:00:00,Poland,Poland,PL,714.95,777.32,25.41,24.26,entsoe.eu,false,
2024-01-04 22:00:00,Poland,Poland,PL,719.22,782.72,24.63,23.34,entsoe.eu,false,
2024-01-04 23:00:00,Poland,Poland,PL,742.48,807.33,22.52,21.31,entsoe.eu,false,
2024-01-05 00:00:00,Poland,Poland,PL,766.96,833.25,20.17,19.02,entsoe.eu,false,
2024-01-05 01:00:00,Poland,Poland,PL,776.9,844.42,18.71,17.64,entsoe.eu,false,
2024-01-05 02:00:00,Poland,Poland,PL,789.92,858.19,17.41,16.45,entsoe.eu,false,
2024-01-05 03:00:00,Poland,Poland,PL,813.39,882.36,15.27,14.21,entsoe.eu,false,
2024-01-05 04:00:00,Poland,Poland,PL,810.65,880.36,15.25,14.01,entsoe.eu,false,
2024-01-05 05:00:00,Poland,Poland,PL,828.2,897.63,14.43,13.41,entsoe.eu,false,
2024-01-05 06:00:00,Poland,Poland,PL,822.9,889.88,17.55,16.06,entsoe.eu,false,
2024-01-05 07:00:00,Poland,Poland,PL,803.97,869.35,19.98,17.06,entsoe.eu,false,
2024-01-05 08:00:00,Poland,Poland,PL,771.94,835.97,22.33,17.91,entsoe.eu,false,
2024-01-05 09:00:00,Poland,Poland,PL,751.6,815.74,22.51,17.44,entsoe.eu,false,
2024-01-05 10:00:00,Poland,Poland,PL,744.4,808.22,22.79,17.82,entsoe.eu,false,
2024-01-05 11:00:00,Poland,Poland,PL,746.47,810.38,22.71,18.47,entsoe.eu,false,
2024-01-05 12:00:00,Poland,Poland,PL,760.46,824.76,21.64,17.88,entsoe.eu,false,
2024-01-05 13:00:00,Poland,Poland,PL,775.27,840.36,20.12,16.88,entsoe.eu,false,
2024-01-05 14:00:00,Poland,Poland,PL,793.67,859.35,18.52,15.72,entsoe.eu,false,
2024-01-05 15:00:00,Poland,Poland,PL,802.36,866.99,19.43,16.94,entsoe.eu,false,
2024-01-05 16:00:00,Poland,Poland,PL,803.38,867.31,20.09,18.15,entsoe.eu,false,
