Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Portugal,Portugal,PT,92.95,127.16,86.43,70.05,entsoe.eu,false,
2024-01-01 01:00:00,Portugal,Portugal,PT,85.6,129.1,83.54,62.06,entsoe.eu,false,
2024-01-01 02:00:00,Portugal,Portugal,PT,71.33,117.29,83.72,63.04,entsoe.eu,false,
2024-01-01 03:00:00,Portugal,Portugal,PT,76.15,124.09,82.7,60.22,entsoe.eu,false,
2024-01-01 04:00:00,Portugal,Portugal,PT,77.21,125.21,82.32,59.93,entsoe.eu,false,
2024-01-01 05:00:00,Portugal,Portugal,PT,77.04,124.79,82.43,60.2,entsoe.eu,false,
2024-01-01 06:00:00,Portugal,Portugal,PT,83.62,134.6,80.92,56.37,entsoe.eu,false,
2024-01-01 07:00:00,Portugal,Portugal,PT,83.89,135.16,80.9,56.28,entsoe.eu,false,
2024-01-01 08:00:00,Portugal,Portugal,PT,83.5,135.75,80.78,57.61,entsoe.eu,false,
2024-01-01 09:00:00,Portugal,Portugal,PT,64.87,112.23,85.18,65.16,entsoe.eu,false,
2024-01-01 10:00:00,Portugal,Portugal,PT,50.48,94.71,88.58,72.14,entsoe.eu,false,
2024-01-01 11:00:00,Portugal,Portugal,PT,45.0,85.46,89.94,73.98,entsoe.eu,false,
2024-01-01 12:00:00,Portugal,Portugal,PT,42.42,81.74,90.53,74.89,entsoe.eu,false,
2024-01-01 13:00:00,Portugal,Portugal,PT,43.55,83.27,90.22,76.15,entsoe.eu,false,
2024-01-01 14:00:00,Portugal,Portugal,PT,44.29,84.85,90.02,76.87,entsoe.eu,false,
2024-01-01 15:00:00,Portugal,Portugal,PT,46.63,87.94,89.49,74.99,entsoe.eu,false,
2024-01-01 16:00:00,Portugal,Portugal,PT,60.59,103.78,86.18,66.56,entsoe.eu,false,
2024-01-01 17:00:00,Portugal,Portugal,PT,79.41,106.05,90.11,76.59,entsoe.eu,false,
2024-01-01 18:00:00,Portugal,Portugal,PT,75.71,96.1,92.81,83.71,entsoe.eu,false,
2024-01-01 19:00:00,Portugal,Portugal,PT,73.7,90.8,94.21,88.04,entsoe.eu,false,
2024-01-01 20:00:00,Portugal,Portugal,PT,65.4,84.87,94.2,88.52,entsoe.eu,false,
2024-01-01 21:00:00,Portugal,Portugal,PT,66.55,88.48,93.34,85.45,entsoe.eu,false,
2024-01-01 22:00:00,Portugal,Portugal,PT,45.98,81.95,90.16,75.86,entsoe.eu,false,
2024-01-01 23:00:00,Portugal,Portugal,PT,43.25,78.81,90.2,76.31,entsoe.eu,false,
2024-01-02 00:00:00,Portugal,Portugal,PT,41.75,76.91,90.53,77.2,entsoe.eu,false,
2024-01-02 01:00:00,Portugal,Portugal,PT,42.96,78.94,90.17,76.93,entsoe.eu,false,
2024-01-02 02:00:00,Portugal,Portugal,PT,40.65,75.63,90.73,77.71,entsoe.eu,false,
2024-01-02 03:00:00,Portugal,Portugal,PT,37.88,72.07,91.35,79.31,entsoe.eu,false,
2024-01-02 04:00:00,Portugal,Portugal,PT,37.42,71.71,91.41,80.35,entsoe.eu,false,
2024-01-02 05:00:00,Portugal,Portugal,PT,36.9,71.41,91.54,80.94,entsoe.eu,false,
2024-01-02 06:00:00,Portugal,Portugal,PT,35.97,69.7,91.74,81.86,entsoe.eu,false,
2024-01-02 07:00:00,Portugal,Portugal,PT,25.22,56.67,94.53,92.09,entsoe.eu,false,
2024-01-02 08:00:00,Portugal,Portugal,PT,36.58,61.33,95.81,95.81,entsoe.eu,false,
