Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Sweden,Sweden,SE,33.25,57.91,96.01,65.6,entsoe.eu,false,
2024-01-01 01:00:00,Sweden,Sweden,SE,33.93,58.74,95.97,65.0,entsoe.eu,false,
2024-01-01 02:00:00,Sweden,Sweden,SE,33.99,58.86,95.95,64.16,entsoe.eu,false,
2024-01-01 03:00:00,Sweden,Sweden,SE,34.54,59.61,95.9,63.33,entsoe.eu,false,
2024-01-01 04:00:00,Sweden,Sweden,SE,34.86,60.39,95.82,62.96,entsoe.eu,false,
2024-01-01 05:00:00,Sweden,Sweden,SE,34.51,60.52,95.85,64.18,entsoe.eu,false,
2024-01-01 06:00:00,Sweden,Sweden,SE,34.08,60.04,95.9,65.06,entsoe.eu,false,
2024-01-01 07:00:00,Sweden,Sweden,SE,33.36,59.44,95.96,65.64,entsoe.eu,false,
2024-01-01 08:00:00,Sweden,Sweden,SE,32.95,59.28,96.0,66.86,entsoe.eu,false,
2024-01-01 09:00:00,Sweden,Sweden,SE,29.47,54.96,96.52,67.65,entsoe.eu,false,
2024-01-01 10:00:00,Sweden,Sweden,SE,26.54,50.85,96.91,68.42,entsoe.eu,false,
2024-01-01 11:00:00,Sweden,Sweden,SE,21.14,45.18,97.52,68.81,entsoe.eu,false,
2024-01-01 12:00:00,Sweden,Sweden,SE,23.74,47.06,97.34,69.07,entsoe.eu,false,
2024-01-01 13:00:00,Sweden,Sweden,SE,11.97,34.28,98.59,70.36,entsoe.eu,false,
2024-01-01 14:00:00,Sweden,Sweden,SE,7.33,29.1,99.09,71.56,entsoe.eu,false,
2024-01-01 15:00:00,Sweden,Sweden,SE,8.57,30.7,98.93,71.57,entsoe.eu,false,
2024-01-01 16:00:00,Sweden,Sweden,SE,6.85,28.31,99.22,71.5,entsoe.eu,false,
2024-01-01 17:00:00,Sweden,Sweden,SE,9.19,30.81,98.94,71.85,entsoe.eu,false,
2024-01-01 18:00:00,Sweden,Sweden,SE,8.92,31.38,98.88,72.11,entsoe.eu,false,
2024-01-01 19:00:00,Sweden,Sweden,SE,9.25,32.46,98.73,71.37,entsoe.eu,false,
2024-01-01 20:00:00,Sweden,Sweden,SE,24.56,49.24,97.01,69.62,entsoe.eu,false,
2024-01-01 21:00:00,Sweden,Sweden,SE,24.2,48.45,97.09,68.69,entsoe.eu,false,
2024-01-01 22:00:00,Sweden,Sweden,SE,33.57,59.78,95.85,66.25,entsoe.eu,false,
2024-01-01 23:00:00,Sweden,Sweden,SE,34.89,61.08,95.67,65.47,entsoe.eu,false,
2024-01-02 00:00:00,Sweden,Sweden,SE,35.5,61.72,95.65,64.42,entsoe.eu,false,
2024-01-02 01:00:00,Sweden,Sweden,SE,36.33,62.89,95.54,64.14,entsoe.eu,false,
2024-01-02 02:00:00,Sweden,Sweden,SE,36.78,63.44,95.47,64.22,entsoe.eu,false,
2024-01-02 03:00:00,Sweden,Sweden,SE,32.78,58.75,95.94,65.1,entsoe.eu,false,
2024-01-02 04:00:00,Sweden,Sweden,SE,16.8,41.74,97.64,67.36,entsoe.eu,false,
2024-01-02 05:00:00,Sweden,Sweden,SE,11.78,35.51,98.31,70.65,entsoe.eu,false,
2024-01-02 06:00:00,Sweden,Sweden,SE,8.36,30.78,98.79,72.96,entsoe.eu,false,
2024-01-02 07:00:00,Sweden,Sweden,SE,7.0,28.89,99.01,73.74,entsoe.eu,false,
2024-01-02 08:00:00,Sweden,Sweden,SE,6.21,27.59,99.14,73.59,entsoe.eu,false,
2024-01-02 09:00:00,Sweden,Sweden,SE,4.94,25.89,99.29,73.58,entsoe.eu,false,
2024-01-02 10:00:00,Sweden,Sweden,SE,5.87,27.21,99.12,74.41,entsoe.eu,false,
2024-01-02 11:00:00,Sweden,Sweden,SE,3.74,24.11,99.46,74.33,entsoe.eu,false,
2024-01-02 12:00:00,Sweden,Sweden,SE,3.45,23.54,99.52,74.46,entsoe.eu,false,
2024-01-02 13:00:00,Sweden,Sweden,SE,3.43,23.71,99.52,74.57,entsoe.eu,false,
2024-01-02 14:00:00,Sweden,Sweden,SE,2.69,22.49,99.64,74.41,entsoe.eu,false,
2024-01-02 15:00:00,Sweden,Sweden,SE,2.86,22.36,99.61,74.58,entsoe.eu,false,
2024-01-02 16:00:00,Sweden,Sweden,SE,2.2,21.32,99.72,74.43,entsoe.eu,false,
2024-01-02 17:00:00,Sweden,Sweden,SE,4.63,24.67,99.3,74.48,entsoe.eu,false,
2024-01-02 18:00:00,Sweden,Sweden,SE,7.08,28.25,98.98,74.65,entsoe.eu,false,
2024-01-02 19:00:00,Sweden,Sweden,SE,7.94,29.72,98.85,74.36,entsoe.eu,false,
2024-01-02 20:00:00,Sweden,Sweden,SE,10.21,33.07,98.53,73.05,entsoe.eu,false,
2024-01-02 21:00:00,Sweden,Sweden,SE,13.5,36.53,98.18,71.48,entsoe.eu,false,
2024-01-02 22:00:00,Sweden,Sweden,SE,19.72,42.82,97.55,70.22,entsoe.eu,false,
2024-01-02 23:00:00,Sweden,Sweden,SE,12.63,34.8,98.33,70.82,entsoe.eu,false,
2024-01-03 00:00:00,Sweden,Sweden,SE,16.69,38.79,97.9,70.87,entsoe.eu,false,
2024-01-03 01:00:00,Sweden,Sweden,SE,22.68,45.16,97.3,69.88,entsoe.eu,false,
2024-01-03 02:00:00,Sweden,Sweden,SE,24.97,47.99,97.0,70.08,entsoe.eu,false,
2024-01-03 03:00:00,Sweden,Sweden,SE,20.92,43.81,97.41,70.6,entsoe.eu,false,
2024-01-03 04:00:00,Sweden,Sweden,SE,11.27,33.28,98.44,71.77,entsoe.eu,false,
2024-01-03 05:00:00,Sweden,Sweden,SE,16.18,38.19,97.97,72.45,entsoe.eu,false,
2024-01-03 06:00:00,Sweden,Sweden,SE,14.77,36.03,98.24,73.02,entsoe.eu,false,
2024-01-03 07:00:00,Sweden,Sweden,SE,13.89,35.26,98.28,74.19,entsoe.eu,false,
2024-01-03 08:00:00,Sweden,Sweden,SE,7.21,27.72,99.01,74.4,entsoe.eu,false,
2024-01-03 09:00:00,Sweden,Sweden,SE,7.34,28.05,98.99,74.55,entsoe.eu,false,
2024-01-03 10:00:00,Sweden,Sweden,SE,10.93,32.11,98.55,74.56,entsoe.eu,false,
2024-01-03 11:00:00,Sweden,Sweden,SE,8.54,29.04,98.79,74.69,entsoe.eu,false,
2024-01-03 12:00:00,Sweden,Sweden,SE,9.46,30.09,98.64,74.58,entsoe.eu,false,
2024-01-03 13:00:00,Sweden,Sweden,SE,8.82,29.12,98.74,74.56,entsoe.eu,false,
2024-01-03 14:00:00,Sweden,Sweden,SE,8.78,28.85,98.75,75.11,entsoe.eu,false,
2024-01-03 15:00:00,Sweden,Sweden,SE,8.47,28.41,98.78,75.21,entsoe.eu,false,
2024-01-03 16:00:00,Sweden,Sweden,SE,4.94,23.84,99.27,75.32,entsoe.eu,false,
2024-01-03 17:00:00,Sweden,Sweden,SE,2.08,19.72,99.71,75.14,entsoe.eu,false,
2024-01-03 18:00:00,Sweden,Sweden,SE,3.18,21.37,99.53,75.17,entsoe.eu,false,
2024-01-03 19:00:00,Sweden,Sweden,SE,5.0,23.82,99.25,75.15,entsoe.eu,false,
2024-01-03 20:00:00,Sweden,Sweden,SE,4.27,22.42,99.39,74.7,entsoe.eu,false,
2024-01-03 21:00:00,Sweden,Sweden,SE,3.78,21.45,99.47,74.17,entsoe.eu,false,
2024-01-03 22:00:00,Sweden,Sweden,SE,13.52,32.95,98.41,73.22,entsoe.eu,false,
2024-01-03 23:00:00,Sweden,Sweden,SE,22.1,43.12,97.44,71.68,entsoe.eu,false,
2024-01-04 00:00:00,Sweden,Sweden,SE,27.33,49.48,96.75,70.7,entsoe.eu,false,
2024-01-04 01:00:00,Sweden,Sweden,SE,27.84,50.44,96.68,70.96,entsoe.eu,false,
2024-01-04 02:00:00,Sweden,Sweden,SE,28.13,50.99,96.66,71.62,entsoe.eu,false,
2024-01-04 03:00:00,Sweden,Sweden,SE,28.82,52.13,96.55,72.27,entsoe.eu,false,
2024-01-04 04:00:00,Sweden,Sweden,SE,28.53,51.95,96.57,73.02,entsoe.eu,false,
2024-01-04 05:00:00,Sweden,Sweden,SE,13.01,34.65,98.27,74.16,entsoe.eu,false,
2024-01-04 06:00:00,Sweden,Sweden,SE,5.63,25.53,99.13,76.02,entsoe.eu,false,
2024-01-04 07:00:00,Sweden,Sweden,SE,6.03,26.15,99.05,76.71,entsoe.eu,false,
2024-01-04 08:00:00,Sweden,Sweden,SE,9.71,31.23,98.48,76.38,entsoe.eu,false,
2024-01-04 09:00:00,Sweden,Sweden,SE,8.25,29.28,98.64,76.72,entsoe.eu,false,
2024-01-04 10:00:00,Sweden,Sweden,SE,10.15,31.74,98.47,76.26,entsoe.eu,false,
2024-01-04 11:00:00,Sweden,Sweden,SE,12.48,34.22,98.22,75.8,entsoe.eu,false,
2024-01-04 12:00:00,Sweden,Sweden,SE,20.24,42.23,97.43,74.84,entsoe.eu,false,
2024-01-04 13:00:00,Sweden,Sweden,SE,16.6,37.31,97.99,75.84,entsoe.eu,false,
2024-01-04 14:00:00,Sweden,Sweden,SE,23.8,45.69,97.04,75.14,entsoe.eu,false,
2024-01-04 15:00:00,Sweden,Sweden,SE,27.51,51.76,96.51,74.68,entsoe.eu,false,
2024-01-04 16:00:00,Sweden,Sweden,SE,27.57,51.64,96.72,75.05,entsoe.eu,false,
2024-01-04 17:00:00,Sweden,Sweden,SE,26.69,50.86,96.77,75.02,entsoe.eu,false,
