Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,USA,USA,US,369.52,439.82,36.75,16.9,,false,
2024-01-01 01:00:00,USA,USA,US,359.75,428.99,38.12,18.08,,false,
2024-01-01 02:00:00,USA,USA,US,356.65,425.67,38.49,18.03,,false,
2024-01-01 03:00:00,USA,USA,US,356.07,424.9,38.62,17.67,,false,
2024-01-01 04:00:00,USA,USA,US,359.8,428.95,38.11,16.75,,false,
2024-01-01 05:00:00,USA,USA,US,363.29,432.96,37.52,15.62,,false,
2024-01-01 06:00:00,USA,USA,US,366.28,436.46,36.89,14.67,,false,
2024-01-01 07:00:00,USA,USA,US,367.79,438.27,36.55,14.04,,false,
2024-01-01 08:00:00,USA,USA,US,369.33,440.19,36.12,13.43,,false,
2024-01-01 09:00:00,USA,USA,US,371.56,442.87,35.67,12.91,,false,
2024-01-01 10:00:00,USA,USA,US,375.9,447.61,35.08,12.46,,false,
2024-01-01 11:00:00,USA,USA,US,383.39,455.67,34.15,11.96,,false,
2024-01-01 12:00:00,USA,USA,US,387.37,459.99,33.72,11.93,,false,
2024-01-01 13:00:00,USA,USA,US,389.8,462.31,33.69,12.23,,false,
2024-01-01 14:00:00,USA,USA,US,384.21,456.01,34.75,13.7,,false,
2024-01-01 15:00:00,USA,USA,US,374.42,444.85,36.61,15.74,,false,
2024-01-01 16:00:00,USA,USA,US,369.01,438.43,37.92,17.2,,false,
2024-01-01 17:00:00,USA,USA,US,367.86,436.94,38.3,17.58,,false,
2024-01-01 18:00:00,USA,USA,US,363.85,432.67,38.78,18.03,,false,
2024-01-01 19:00:00,USA,USA,US,356.01,424.65,39.44,18.57,,false,
2024-01-01 20:00:00,USA,USA,US,351.35,419.92,39.83,18.95,,false,
2024-01-01 21:00:00,USA,USA,US,352.28,421.53,39.27,18.7,,false,
2024-01-01 22:00:00,USA,USA,US,361.22,431.39,37.87,17.93,,false,
2024-01-01 23:00:00,USA,USA,US,375.13,446.18,35.97,16.66,,false,
2024-01-02 00:00:00,USA,USA,US,375.49,446.52,35.81,16.84,,false,
2024-01-02 01:00:00,USA,USA,US,371.27,441.92,36.29,17.31,,false,
2024-01-02 02:00:00,USA,USA,US,366.84,437.14,36.85,17.68,,false,
2024-01-02 03:00:00,USA,USA,US,364.52,434.33,37.34,17.7,,false,
2024-01-02 04:00:00,USA,USA,US,359.13,428.25,38.21,18.02,,false,
2024-01-02 05:00:00,USA,USA,US,351.89,420.18,39.28,18.48,,false,
2024-01-02 06:00:00,USA,USA,US,347.44,415.7,39.6,18.43,,false,
2024-01-02 07:00:00,USA,USA,US,347.74,416.19,39.47,18.04,,false,
2024-01-02 08:00:00,USA,USA,US,348.7,417.77,38.97,17.51,,false,
2024-01-02 09:00:00,USA,USA,US,349.67,419.16,38.59,17.31,,false,
2024-01-02 10:00:00,USA,USA,US,353.74,423.71,37.95,17.23,,false,
2024-01-02 11:00:00,USA,USA,US,361.53,432.36,36.88,17.25,,false,
2024-01-02 12:00:00,USA,USA,US,370.52,441.93,35.94,17.3,,false,
2024-01-02 13:00:00,USA,USA,US,375.03,446.33,35.85,17.8,,false,
2024-01-02 14:00:00,USA,USA,US,367.73,437.68,37.31,19.36,,false,
2024-01-02 15:00:00,USA,USA,US,366.88,436.57,37.57,19.45,,false,
2024-01-02 16:00:00,USA,USA,US,362.23,431.08,38.62,20.23,,false,
2024-01-02 17:00:00,USA,USA,US,357.5,425.64,39.51,20.92,,false,
2024-01-02 18:00:00,USA,USA,US,357.84,426.2,39.34,20.53,,false,
2024-01-02 19:00:00,USA,USA,US,359.52,428.13,39.03,20.02,,false,
2024-01-02 20:00:00,USA,USA,US,361.89,431.13,38.37,19.25,,false,
2024-01-02 21:00:00,USA,USA,US,370.15,440.95,36.66,17.66,,false,
2024-01-02 22:00:00,USA,USA,US,379.43,451.66,35.02,16.55,,false,
2024-01-02 23:00:00,USA,USA,US,389.06,461.99,33.86,15.82,,false,
2024-01-03 00:00:00,USA,USA,US,395.86,469.41,32.82,14.88,,false,
2024-01-03 01:00:00,USA,USA,US,398.55,471.77,32.72,14.8,,false,
2024-01-03 02:00:00,USA,USA,US,403.1,476.67,32.2,13.98,,false,
2024-01-03 03:00:00,USA,USA,US,405.83,479.51,31.92,13.2,,false,
2024-01-03 04:00:00,USA,USA,US,405.94,479.56,31.94,12.61,,false,
2024-01-03 05:00:00,USA,USA,US,405.59,479.61,31.73,11.8,,false,
2024-01-03 06:00:00,USA,USA,US,406.4,480.72,31.54,11.26,,false,
2024-01-03 07:00:00,USA,USA,US,409.66,484.37,31.08,10.54,,false,
2024-01-03 08:00:00,USA,USA,US,410.54,485.22,31.06,10.49,,false,
2024-01-03 09:00:00,USA,USA,US,408.72,483.63,31.09,10.61,,false,
2024-01-03 10:00:00,USA,USA,US,408.48,483.72,30.85,10.75,,false,
2024-01-03 11:00:00,USA,USA,US,404.75,480.16,31.1,11.93,,false,
2024-01-03 12:00:00,USA,USA,US,404.11,479.63,31.14,12.83,,false,
2024-01-03 13:00:00,USA,USA,US,403.26,478.38,31.55,13.65,,false,
2024-01-03 14:00:00,USA,USA,US,397.88,472.17,32.62,14.74,,false,
2024-01-03 15:00:00,USA,USA,US,392.43,466.13,33.42,15.29,,false,
2024-01-03 16:00:00,USA,USA,US,386.37,459.56,34.29,15.95,,false,
2024-01-03 17:00:00,USA,USA,US,381.66,454.35,35.04,16.48,,false,
2024-01-03 18:00:00,USA,USA,US,380.53,453.37,35.06,16.34,,false,
2024-01-03 19:00:00,USA,USA,US,380.69,453.69,34.96,16.04,,false,
2024-01-03 20:00:00,USA,USA,US,383.75,457.31,34.34,15.27,,false,
2024-01-03 21:00:00,USA,USA,US,386.66,460.87,33.62,14.63,,false,
2024-01-03 22:00:00,USA,USA,US,392.92,468.11,32.49,13.98,,false,
2024-01-03 23:00:00,USA,USA,US,398.63,474.36,31.56,13.55,,false,
2024-01-04 00:00:00,USA,USA,US,397.88,473.1,31.83,14.03,,false,
2024-01-04 01:00:00,USA,USA,US,396.14,470.65,32.33,14.51,,false,
2024-01-04 02:00:00,USA,USA,US,392.07,466.19,32.93,14.71,,false,
2024-01-04 03:00:00,USA,USA,US,386.94,460.5,33.63,14.76,,false,
2024-01-04 04:00:00,USA,USA,US,384.41,457.73,33.94,14.44,,false,
2024-01-04 05:00:00,USA,USA,US,381.63,454.69,34.29,14.2,,false,
2024-01-04 06:00:00,USA,USA,US,381.38,454.49,34.25,13.72,,false,
2024-01-04 07:00:00,USA,USA,US,384.18,457.44,33.91,13.07,,false,
2024-01-04 08:00:00,USA,USA,US,386.39,459.47,33.87,12.93,,false,
2024-01-04 09:00:00,USA,USA,US,389.24,462.32,33.67,12.8,,false,
2024-01-04 10:00:00,USA,USA,US,392.48,465.85,33.25,12.74,,false,
2024-01-04 11:00:00,USA,USA,US,392.35,466.38,32.85,13.36,,false,
2024-01-04 12:00:00,USA,USA,US,392.26,466.27,32.94,14.32,,false,
2024-01-04 13:00:00,USA,USA,US,385.7,458.95,34.04,15.97,,false,
2024-01-04 14:00:00,USA,USA,US,373.94,445.52,36.03,18.0,,false,
2024-01-04 15:00:00,USA,USA,US,367.22,437.98,37.25,19.15,,false,
2024-01-04 16:00:00,USA,USA,US,360.75,430.19,38.71,20.4,,false,
2024-01-04 17:00:00,USA,USA,US,355.16,423.42,39.99,21.41,,false,
2024-01-04 18:00:00,USA,USA,US,355.14,423.06,40.22,21.45,,false,
2024-01-04 19:00:00,USA,USA,US,354.96,422.78,40.24,21.23,,false,
2024-01-04 20:00:00,USA,USA,US,355.84,423.81,40.01,20.89,,false,
2024-01-04 21:00:00,USA,USA,US,364.94,434.47,38.21,19.05,,false,
2024-01-04 22:00:00,USA,USA,US,377.52,448.78,36.08,17.51,,false,
2024-01-04 23:00:00,USA,USA,US,387.82,460.54,34.34,16.34,,false,
2024-01-05 00:00:00,USA,USA,US,391.02,464.08,33.71,15.96,,false,
2024-01-05 01:00:00,USA,USA,US,389.03,461.48,34.2,16.49,,false,
2024-01-05 02:00:00,USA,USA,US,388.06,460.22,34.47,16.52,,false,
2024-01-05 03:00:00,USA,USA,US,388.3,460.12,34.66,16.27,,false,
2024-01-05 04:00:00,USA,USA,US,385.79,457.19,35.22,16.26,,false,
2024-01-05 05:00:00,USA,USA,US,385.57,456.56,35.48,15.93,,false,
2024-01-05 06:00:00,USA,USA,US,387.11,458.08,35.34,15.44,,false,
2024-01-05 07:00:00,USA,USA,US,387.58,458.59,35.25,15.18,,false,
2024-01-05 08:00:00,USA,USA,US,386.04,456.72,35.59,15.47,,false,
2024-01-05 09:00:00,USA,USA,US,384.35,455.07,35.69,15.63,,false,
2024-01-05 10:00:00,USA,USA,US,383.94,455.25,35.35,15.63,,false,
2024-01-05 11:00:00,USA,USA,US,382.37,454.65,34.81,15.98,,false,
2024-01-05 12:00:00,USA,USA,US,382.23,454.78,34.71,16.69,,false,
