Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2024-01-01 00:00:00,Uruguay,Uruguay,UY,0.0,42.05,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 01:00:00,Uruguay,Uruguay,UY,0.0,41.71,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 02:00:00,Uruguay,Uruguay,UY,0.0,45.53,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 03:00:00,Uruguay,Uruguay,UY,0.0,49.19,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 04:00:00,Uruguay,Uruguay,UY,0.0,48.99,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 05:00:00,Uruguay,Uruguay,UY,0.0,50.6,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 06:00:00,Uruguay,Uruguay,UY,0.0,53.36,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 07:00:00,Uruguay,Uruguay,UY,0.0,55.68,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 08:00:00,Uruguay,Uruguay,UY,0.0,56.49,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 09:00:00,Uruguay,Uruguay,UY,0.0,58.5,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 10:00:00,Uruguay,Uruguay,UY,0.0,60.18,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 11:00:00,Uruguay,Uruguay,UY,0.0,60.74,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 12:00:00,Uruguay,Uruguay,UY,0.0,59.66,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 13:00:00,Uruguay,Uruguay,UY,0.0,57.38,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 14:00:00,Uruguay,Uruguay,UY,0.0,53.51,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 15:00:00,Uruguay,Uruguay,UY,0.0,53.9,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 16:00:00,Uruguay,Uruguay,UY,0.0,52.86,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 17:00:00,Uruguay,Uruguay,UY,0.0,50.31,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 18:00:00,Uruguay,Uruguay,UY,0.0,50.46,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 19:00:00,Uruguay,Uruguay,UY,0.0,49.06,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 20:00:00,Uruguay,Uruguay,UY,0.0,46.84,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 21:00:00,Uruguay,Uruguay,UY,0.0,46.76,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 22:00:00,Uruguay,Uruguay,UY,0.0,46.21,100.0,100.0,pronos.adme.com.uy,false,
2024-01-01 23:00:00,Uruguay,Uruguay,UY,0.0,42.22,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 00:00:00,Uruguay,Uruguay,UY,0.0,42.14,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 01:00:00,Uruguay,Uruguay,UY,0.0,42.03,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 02:00:00,Uruguay,Uruguay,UY,0.0,39.89,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 03:00:00,Uruguay,Uruguay,UY,0.0,43.4,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 04:00:00,Uruguay,Uruguay,UY,0.0,44.66,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 05:00:00,Uruguay,Uruguay,UY,0.0,47.52,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 06:00:00,Uruguay,Uruguay,UY,0.0,49.77,100.0,100.0,pronos.adme.com.uy,false,
2024-01-02 07:00:00,Uruguay,Uruguay,UY,0.0,49.26,100.0,100.0,pronos.adme.com.uy,false,
